Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
BPT;BP Prudhoe Bay Royalty Trust Common Stock;$4.4913;0.0713;1613%;96113820.00;United States;;7023;Energy;Integrated oil Companies
BRN;Barnwell Industries Inc. Common Stock;$2.59;0.01;0.388%;24462931.00;United States;;7786;Energy;Oil & Gas Production
BROG;Brooge Energy Limited Ordinary Shares;$9.50;0.55;6145%;1041084613.00;United Kingdom;2018;112;Energy;Integrated oil Companies
BROGW;Brooge Holdings Limited Warrant expiring 12/20/2024;$0.65;0.04;6557%;0.00;United Kingdom;2018;200;Energy;Integrated oil Companies
BRY;Berry Corporation (bry) Common Stock;$9.91;0.20;2.06%;792870847.00;United States;2018;121385;Energy;Oil & Gas Production
BSM;Black Stone Minerals L.P. Common units representing limited partner interests;$11.72;0.07;0.601%;2445561395.00;United States;2015;126048;Energy;Oil & Gas Production
BTU;Peabody Energy Corporation Common Stock ;$11.45;0.52;4758%;1458730000.00;United States;2017;2084396;Energy;Coal Mining
CCLP;CSI Compressco LP Common Units;$1.55;-0.03;-1899%;74355422.00;United States;2011;195015;Energy;Oilfield Services/Equipment
CDEV;Centennial Resource Development Inc. Class A Common Stock;$7.35;0.07;0.962%;2088076178.00;United States;2016;1998449;Energy;Oil & Gas Production
CEI;Camber Energy Inc. Common Stock;$1.135;0.035;3182%;283254469.00;United States;;12954210;Energy;Oil & Gas Production
CELP;Cypress Environmental Partners L.P. Common Units representing limited partner interests;$1.555;0.115;7986%;19186596.00;;2014;22671;Energy;Oilfield Services/Equipment
CEQP;Crestwood Equity Partners LP;$28.48;0.15;0.529%;1791378871.00;United States;;113615;Energy;Oilfield Services/Equipment
CHK;Chesapeake Energy Corporation Common Stock;$64.71;1.61;2552%;7577919230.00;United States;;308596;Energy;Oil & Gas Production
CHKEL;Chesapeake Energy Corporation Class C Warrants;$31.80;1.55;5124%;0.00;United States;;4277;Energy;Oil & Gas Production
CHKEW;Chesapeake Energy Corporation Class A Warrants;$38.60;0.79;2089%;0.00;United States;;386;Energy;Oil & Gas Production
CHKEZ;Chesapeake Energy Corporation Class B Warrants;$34.31;0.51;1509%;0.00;United States;;900;Energy;Oil & Gas Production
CIVI;Civitas Resources Inc. Common Stock;$56.315;0.945;1707%;4734409540.00;United States;2017;118274;Energy;Oil & Gas Production
CKX;CKX Lands Inc. Common Stock;$12.0901;0.00;0.00%;23484959.00;United States;;68;Energy;Oil & Gas Production
